album_group,album_type,artists,available_markets,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify
album,album,,,https://api.spotify.com/v1/albums/2ePgm9LMao9MIx7VWmHQoA,2ePgm9LMao9MIx7VWmHQoA,,Ouvrez Le Chien (Live Dallas 95),2020-07-03,day,16,album,spotify:album:2ePgm9LMao9MIx7VWmHQoA,https://open.spotify.com/album/2ePgm9LMao9MIx7VWmHQoA
album,album,,,https://api.spotify.com/v1/albums/1HKNlpKfSTZkALqVuR2BYC,1HKNlpKfSTZkALqVuR2BYC,,Liveandwell.com (2020 Remaster),2020-05-15,day,12,album,spotify:album:1HKNlpKfSTZkALqVuR2BYC,https://open.spotify.com/album/1HKNlpKfSTZkALqVuR2BYC
album,album,,,https://api.spotify.com/v1/albums/2F90unPwyFwCT7khOMGT2o,2F90unPwyFwCT7khOMGT2o,,Metrobolist (aka The Man Who Sold The World) [2020 Mix],2020,year,9,album,spotify:album:2F90unPwyFwCT7khOMGT2o,https://open.spotify.com/album/2F90unPwyFwCT7khOMGT2o
album,album,,,https://api.spotify.com/v1/albums/6AzBSTH7yHgFMPQRrckpHO,6AzBSTH7yHgFMPQRrckpHO,,The 'Mercury' Demos (with John 'Hutch' Hutchinson),2019-07-05,day,10,album,spotify:album:6AzBSTH7yHgFMPQRrckpHO,https://open.spotify.com/album/6AzBSTH7yHgFMPQRrckpHO
album,album,,,https://api.spotify.com/v1/albums/4SFBFUvZcwR4tSyDTXluOy,4SFBFUvZcwR4tSyDTXluOy,,"Serious Moonlight (Live '83, 2018 Remaster)",2019-02-15,day,21,album,spotify:album:4SFBFUvZcwR4tSyDTXluOy,https://open.spotify.com/album/4SFBFUvZcwR4tSyDTXluOy
album,album,,,https://api.spotify.com/v1/albums/4RwaHr4OuqNDN3jTmZCnnu,4RwaHr4OuqNDN3jTmZCnnu,,Dance,2019-02-15,day,12,album,spotify:album:4RwaHr4OuqNDN3jTmZCnnu,https://open.spotify.com/album/4RwaHr4OuqNDN3jTmZCnnu
album,album,,,https://api.spotify.com/v1/albums/6frjpRu2P0fdF9xSS9stjY,6frjpRu2P0fdF9xSS9stjY,,Glastonbury 2000 (Live),2018-11-30,day,22,album,spotify:album:6frjpRu2P0fdF9xSS9stjY,https://open.spotify.com/album/6frjpRu2P0fdF9xSS9stjY
album,album,,,https://api.spotify.com/v1/albums/0blyxTUATvmwqDcVM0dGt6,0blyxTUATvmwqDcVM0dGt6,,Welcome To The Blackout (Live London '78),2018-04-20,day,24,album,spotify:album:0blyxTUATvmwqDcVM0dGt6,https://open.spotify.com/album/0blyxTUATvmwqDcVM0dGt6
album,album,,,https://api.spotify.com/v1/albums/1m4J3FQcxlHIsPeYfCpbHA,1m4J3FQcxlHIsPeYfCpbHA,,Stage (2017) [Live],2017-09-29,day,22,album,spotify:album:1m4J3FQcxlHIsPeYfCpbHA,https://open.spotify.com/album/1m4J3FQcxlHIsPeYfCpbHA
album,album,,,https://api.spotify.com/v1/albums/5iZ09NPBTbpDziZcMrmjzb,5iZ09NPBTbpDziZcMrmjzb,,"Cracked Actor (Live, Los Angeles '74)",2017-04-22,day,20,album,spotify:album:5iZ09NPBTbpDziZcMrmjzb,https://open.spotify.com/album/5iZ09NPBTbpDziZcMrmjzb
album,album,,,https://api.spotify.com/v1/albums/6rlBjq1AZPbrX0Ivn6lS43,6rlBjq1AZPbrX0Ivn6lS43,,Live In Berlin (1978),2017-02-23,day,8,album,spotify:album:6rlBjq1AZPbrX0Ivn6lS43,https://open.spotify.com/album/6rlBjq1AZPbrX0Ivn6lS43
album,album,,,https://api.spotify.com/v1/albums/0vxg8oJKDu3i0bXQu7vEpi,0vxg8oJKDu3i0bXQu7vEpi,,Blackstar,2016-01-08,day,7,album,spotify:album:0vxg8oJKDu3i0bXQu7vEpi,https://open.spotify.com/album/0vxg8oJKDu3i0bXQu7vEpi
album,album,,,https://api.spotify.com/v1/albums/2BW7T8PojNxH9RPq4WWa6h,2BW7T8PojNxH9RPq4WWa6h,,The Next Day,2013-03-08,day,14,album,spotify:album:2BW7T8PojNxH9RPq4WWa6h,https://open.spotify.com/album/2BW7T8PojNxH9RPq4WWa6h
